;Title;Description
13;Exploitant Transport F/H (H/F);Notre métier, c'est l'emploi. Des milliers d'offres d'emploi, 17 pays, 770 agences, plus de 4400 collaborateurs.Le Groupe Synergie, 1er groupe français en gestion des Ressources Humaines, vous accompagne dans l'évolution de votre carrière professionnelle : recrutement CDD-CDI, intérim, formation et conseil RH. Depuis notre origine, nous marquons notre différence par notre sens de l'engagement et notre capacité à apporter des solutions concrètes aux clients, candidats et intérimaires qui nous font confiance.Nous recrutons pour notre client, spécialisé dans le transport de marchandises, un Exploitant Transport (H/F)Vous aurez comme principales missions de :- Gérer l'affrètement et l'exploitation - Gérer les rendez-vous contrôle technique et tachygraphe.- Gérer les rendez-vous avec le garage pour les entretiens- Optimiser les voyages et la planification des tournéesVous bénéficiez au minimum d'un Baccalauréat professionnel dans le domaine du transport.Vous justifiez au minimum d'une première expérience sur un poste équivalent.Vous connaissez la réglementation du transport.Vous êtes à l'aise avec la cartographie du territoire.
14;Infirmier / Infirmière de prévention (H/F);
15;Infirmier / Infirmière de prévention (H/F);Réaliser des tests de dépistages PCR et TROD Antigéniques au sein du dispositif de dépistage COVID-19 de la Croix-Rouge française à Saint-Martin.
16;Pâtissier / Pâtissière;
17;MECANICIEN DE MAINTENANCE (H/F);Le Mécanicien de Maintenance réalise l'ensemble des interventions de maintenance préventive et corrective relevant de l'entretien périodique de tous types de véhicules dans le cadre de procédures prédéfinies et réglementées, nécessitant l'utilisation d'équipements adaptés. Il effectue ses activités dans un atelier ou en déplacement pour assurer le dépannage ou le suivi d'un parc automobile. · Prend en charge le véhicule et excute les réparations à effectuer selon les modes opératoires définis, · Réalise des interventions de maintenance préventive et correctives relevant de l'entretien courant et périodique des véhicules (notamment montage, démontage, équilibrage, permutation, géométrie, vidange,suspension, freinage, échappement, climatisation), · Réalise les réparations et les révisions des véhicules (plaquettes, freins arrière, amortisseurs, vidange, courroies de distribution, embrayage), · Entretient les équipements spécifiques des véhicules (hayons / grues de manutention,), · Complète la fiche diagnostic et informe le chargé d'accueil si des prestations complémentaires sont nécessaires, · Rapporte à son responsable hiérarchique direct tout dysfonctionnement repéré au moment de la réalisation de la prestation · Utilise des outils de diagnostic éléctronique et recherche de panne, · Entretient son espace et ses outils de travail, · Pose d'accessoires sur véhicules pré-équipés. Votre Agence CritNat vous propose d'intégrer une nouvelle aventure avec de belles opportunités dans les métiers de la Mécanique et notamment celui de Mécanicien Automobile, quel que soit le type de contrat, nous pourrons vous accompagner pour sécuriser votre parcours Nous recrutons en CDI  Vous êtes motivé, passionné et dynamique, vous avez l'esprit d'équipe et êtes autonome à la fois, venez rejoindre leur équipe  - Formation initiale de niveau V de l'éducation nationale (exemples : CAP Maintenance de véhicules automobiles option véhicules particuliers, BEP Maintenance des véhicules et des matériels, Certificat de qualification professionnelle Opérateur service rapide (CQP OSR), Certificat de qualification professionnelle Opérateur spécialiste service rapide (CQP OSSR)) et une expérience professionnelle de moins d'un an. - Une expérience professionnelle équivalente dans le domaine d'activités.
18;Responsable Comptable et Financier (F/H) (H/F);"Vous avez pour mission de superviser la comptabilité générale et analytique, établir et présenter sous forme normalisée les documents comptables légaux, analyser la rentabilité et formuler des propositions sur les stratégies à moyen terme et gèrer et animer une équipe. Les principales activités sont les suivantes : - Comptabilité : effectuer les arrêtés comptables, établir le bilan annuel et le compte de résultat, calculer le résultat fiscal, organiser l'inventaire des stocks en cours de réparation ; - Trésorerie : préparer les négociations des conditions bancaires et des demandes de financement, contrôler les écritures de banque, contrôler les prévisions de trésorerie effectuées par les comptables ; - Fiscalité : effectuer les déclarations fiscales, effectuer la veille fiscale, gérer les crédits d'impôts ; - Investissement : suivre le budget des immobilisations, demander et suivre les immobilisations en cours de production, superviser l'inventaire annuel de toutes les immobilisations ; - Finances : effectuer une étude du bilan et du compte de résultat ; - Controlling : élaborer et suivre les budgets de fonctionnement et d'investissements, gérer et calculer les coûts, la rentabilité et les approvisionnements, assurer une aide à la décision, une analyse et des actions correctives ; - Management : animer une équipe, décliner les objectifs dans son service."
19;Charpentier bois poseur / Charpentière bois poseuse;
20;Couvreur / Couvreuse;
21;Puisatier / Puisatière;
22;Maçon / Maçonne;Entreprise du BTP recherche 4 maçons(es) confirmés(es) pour ses chantiers.
23;1 TECHNICIEN DE MAINTENANCE (H/F);1 TECHNICIEN DE MAINTENANCE (H/F) Vous avez pour principales missions : - Assurer le bon fonctionnement, le suivit, l'entretien préventif et curatif, les réglages et réparations, de l'ensemble du matériel de la zone de fabrication - Organiser les interventions en se conformant aux consignes de sécurités et normes en vigueurs - Vous pourriez également être amené à installer de nouveaux équipements A partir de : 11,27 EUR/H De formation de type BAC PRO ou BTS Maintenance ou Electrotechnique, vous possédez impérativement une première expérience d'au moins 3 ans sur un poste similaire et dans l'idéal en industrie agroalimentaire. Vous appréciez le travail en équipe et êtes dynamique, réactif et patient. Taux horaire minimum de 11.27€/h ( à définir selon compétences) Salaire sur 13 mois après un an d'ancienneté, Compte Epargne Temps et mutuelle. Poste à pourvoir en CDI au plus vite Prêt à vous lancer ? Postulez  Embarquez avec Start People CDI, CDD ou Intérim, quel que soit le secteur d'activité, Start People vous accompagne dans votre recherche d'emploi. Nos équipes, réparties au sein de 220 agences à travers la France, sont dans les starting blocks pour décrocher les missions qu'il vous faut tout en privilégiant des relations professionnelles et humaines. Start People de MORLAIX recherche pour l'un de ses clients industrie agroalimentaire un Technicien de maintenance (H/F)
24;Conseiller / Conseillère clientèle à distance (H/F);
25;Animatrice Commerciale (H/F);
26;Formateur / Formatrice;
27;RESPONSABLE DE SITE DÉDIÉ H/F;Contexte du recrutement : Dans le cadre du développement de notre solution Onsite, nous recherchons un(e) Responsable de site pour le compte de notre client spécialisé dans le domaine de la logistique. Ce que sera votre métier : - Accompagner notre client d'un point de vue méthode et process en amont et en aval, afin d'assurer et de mettre en place des solutions d'améliorations continu. - Participer et animer les revues qualité et de contrat, en liaison avec la direction commerciale et nos solutions dédiées. - Représenter la direction de PROMAN dans les réunions de pilotage. - Assurer le reporting des données quotidiennes conformes aux attentes de notre client. - Suivre et piloter des indicateurs de performance RH (Turn-over, absentéisme, sécurité). Accompagner et former les collaborateurs des agences dédiées aux process qualité, de recrutement et de gestion du personnel intérimaires. Veiller à la réalisation des actions de recrutement et de sourcing convenues avec le client. Consolider et contrôler les reportings de l'agence dédiée, et déclencher les actions correctives. Maîtriser des coûts et le respect des budgets fixés en collaboration avec la direction Commerciale. Suivre les investissement et gains économiques générés pour notre client. Manager une équipe de 2 chargés de sites PROMAN est un acteur majeur dans le domaine de l'intérim et des RH. Le groupe est le premier acteur indépendant, et 4ème sur le marché du travail temporaire et du recrutement en France. Fondé en 1990, nous sommes présents sur l'ensemble du territoire ainsi qu'à l'international, et nous mettons l'accent sur la proximité et l'engagement au service de nos intérimaires et clients. Notre différence : notre forte culture familiale, nous nous appuyons sur des valeurs essentielles que sont la confiance, la proximité, la fidélité et la réactivité. Ce qu'il vous faut pour réussir : De formation supérieure, vous avez une expérience significative et avez déjà piloté l'exploitation et/ou l'organisation RH d'une entreprise industrielle ou logistique. Vous êtes force de proposition, de solutions nouvelles permettant d'optimiser la prestation de nos agences dédiées. Vous maîtrisez l'anglais : vous êtes capable de gérer l'ensemble des échanges oraux et écrit dans cette langue. Vous avez une aisance relationnelle, incluant une bonne capacité d'écoute et d'analyse. Vous savez faire preuve de réactivité, disponibilité et initiative.
28;COMPTABLE (H/F);"COMPTABLE (H/F) Embarquez avec Start People Votre agence de Boulogne-sur-Mer recrute pour un cabinet d'expertise comptable, un comptable H/F pour un poste en CDI. Vos missions seront les suivantes : - Le suivi d'un portefeuille d'une quarantaine de clients de divers secteurs d'activités : commerçants, artisans, associations, SCI ; - Vous êtes supervisé(e) par l'expert-comptable et accompagné(e) d'un(e) Assistant(e) Comptable ; - La révision comptable, l'établissement des déclarations comptables : liasse fiscale, TVTS, CVAE, CFE, impôt sur le revenu ; - Superviser la saisie, le pointage et le lettrage des écritures comptables clients et fournisseurs, ainsi que de l'apurement régulier du compte d'attente. De formation en comptabilité, vous avez déjà 1 an d'expérience minimum en cabinet d'expertise comptable. Vous êtes autonome, rigoureux, vous faites preuve d'un bon relationnel client et de discrétion sur les informations divulguées. Vous maitrisez parfaitement les outils informatiques (excel, word, power point). Votre très grande rigueur, votre adaptabilité ainsi que votre pugnacité seront autant d'atouts pour mener à bien les tâches qui vous seront confiées. Prêt à vous lancer ? Postulez  ."
29;PLAQUISTE (H/F);"PLAQUISTE (H/F) Nous recherchons pour notre client sur PONT ST MARTIN un(e) PLAQUISTE (H/F) en CDI Rattaché à un chef de chantier, vos missions sont les suivantes: Pose/dépose des panneaux préfabriqués (agglomérés, stratifiés, Placoplatre, métal, plastique, etc.). Montage des cloisons, des sols, des doublages en panneaux ou des faux plafonds. Jointure et renforcement de la structure des panneaux. Prise de mesures, traçage, collage Lecture de plan. Déplacements à prévoir du L au V Rémunération attractive Conduite du véhicule de l'entreprise A partir de : 12,00 EUR/H Rigoureux(se), vous aimez le travail en équipe et respectez les règles de sécurité. Vous avez le sens de l'organisation et serez amené à manipuler des charges lourdes. Ce poste vous intéresse, postulez dès maintenant à cette annonce  ""Veuillez postuler via le site"" 02.40.78.07.07 Embarquez avec Start PeopleCDI, CDD ou Intérim, quel que soit le secteur d'activité, Start People vous accompagne dans votre recherche d'emploi. Nos équipes, réparties au sein de 220 agences à travers la France, sont dans les starting blocks pour décrocher les missions qu'il vous faut tout en privilégiant des relations professionnelles et humaines. Votre agence Start People de ST PHILBERT DE GRAND LIEU , recherche un plaquiste (H/F) pour l'un de ses clients."
30;CHEF D'ATELIER VEHICULES INDUSTRIELS H/F;"Rattaché (e) au Responsable d'un centre dédié aux véhicules professionnels, vous mobilisez vos talents d'Expert technique et de Manager en partageant votre culture au service client. MISSIONS : Professionnel (e) attentif (ve) et énergique, vous: - Assistez et conseillez techniquement à l'atelier ou chez les clients; - Veillez au respect des consignes de sécurité et des méthodes de travail; - Conseillez et fidélisez une clientèle variée (industrie, transport, agriculture, génie civil, etc.); - Contribuez à l'atteindre des objectifs en valorisant les produits, services et prestations Euromaster; - Garantissez une gestion optimale de votre atelier: planification, commandes, entretien des équipements; - Assurez la bonne application des basiques administratives (devis, facturation, stocks, commandes, caisse.); - Participer au développement des compétences des techniciens. MASTERAVANTAGES : Parcours de formation Avantages CE et IRP AUTO, chèques vacances. Régime santé et prévoyance. Plan d'épargne parrainé par l'entreprise Primes d'objectifs. Politique de gestion des talents Plan de développement des compétences, parcours carrière et possibilités d'évolution au sein d'Euromaster Group. Accès à notre réseau social 100% EUROMASTER via une application mobile interactive "
31;Formateur / Formatrice    (H/F);
32;Dessinateur-projeteur / Dessinatrice-projeteuse du BTP;
33;Ingénieur / Ingénieure structure BTP;
34;Réparateur / Réparatrice en électroménager (H/F);
35;Commercial Terrain B to C (H/F); Commercial Terrain B to C / Futur Manager Description de l'entreprise :                                     CIRCET DISTRIBUTION est une filiale commerciale de CIRCET.Rejoignez une entreprise gagnante avec plus de 20% de croissance en 2018 !Avec un chiffre d'affaires de 816 Millions d'Euros en 2018 et 3150 collaborateurs en France, la société CIRCET est le leader européen des infrastructures de télécommunications pour les opérateurs télécoms.Les clients de CIRCET sont les opérateurs télécoms, les fabricants d'équipements télécoms, les grands comptes propriétaires d'infrastructures, les opérateurs d'infrastructures, l'État et les collectivités locales. CIRCET DISTRIBUTION est le prestataire référent auprès des grands opérateurs, ORANGE, SFR, ENGIE et BOUYGUES TELECOM.Nous sommes présents sur l'ensemble du territoire national, métropole et DOM avec 23 agences commerciales sur le territoire national et DOM.Description du poste : Etre l'ambassadeur de la marque que vous représentez.Prospecter, promouvoir et vendre l'ensemble des offres auprès des particuliers et professionnels sur un marché en très forte croissance.Description du profil :Vous aimez convaincre et avez le goût de la performance.Vous êtes dynamique, autonome et persévérant.Vous avez un excellent contact clientèle, le sens du conseil, une bonne présentation et une bonne élocution.
36;Directreur/ Directrice de crèche (H/F);
37;Dirigeant / Dirigeante départemental   (H/F);
38;Prothésiste dentaire (H/F);
39;Auxiliaire de puériculture (H/F);
40;Infirmier / Infirmière en puériculture (H/F);
41;Chargé d'accompagnement social et professionnel (H/F);
42;Puériculteur / Puéricultrice responsable de crèche (H/F);
